"name"	"description"	"page"
"116"	"affy_ht_hg_u133_plus_pm"	"AFFY HT HG U133 Plus PM probe"	"feature_page"
"117"	"affy_huex_1_0_st_v2"	"AFFY HuEx 1 0 st v2 probe"	"feature_page"
"118"	"affy_hugenefl"	"AFFY HuGeneFL probe"	"feature_page"
"119"	"affy_hugene_1_0_st_v1"	"AFFY HuGene 1 0 st v1 probe"	"feature_page"
"120"	"affy_hugene_2_0_st_v1"	"AFFY HuGene 2 0 st v1 probe"	"feature_page"
"121"	"affy_hugene_2_1_st_v1"	"AFFY HuGene 2 1 st v1 probe"	"feature_page"
"122"	"affy_primeview"	"AFFY PrimeView probe"	"feature_page"
"123"	"affy_u133_x3p"	"AFFY U133 X3P probe"	"feature_page"
"124"	"agilent_cgh_44b"	"AGILENT CGH 44b probe"	"feature_page"
"125"	"agilent_gpl19072"	"AGILENT GPL19072 probe"	"feature_page"
"126"	"agilent_gpl26966"	"AGILENT GPL26966 probe"	"feature_page"
"127"	"agilent_gpl6848"	"AGILENT GPL6848 probe"	"feature_page"
"128"	"agilent_sureprint_g3_ge_8x60k"	"AGILENT SurePrint G3 GE 8x60k probe"	"feature_page"
"129"	"agilent_sureprint_g3_ge_8x60k_v2"	"AGILENT SurePrint G3 GE 8x60k v2 probe"	"feature_page"
"130"	"agilent_wholegenome"	"AGILENT WholeGenome probe"	"feature_page"
"131"	"agilent_wholegenome_4x44k_v1"	"AGILENT WholeGenome 4x44k v1 probe"	"feature_page"
"132"	"agilent_wholegenome_4x44k_v2"	"AGILENT WholeGenome 4x44k v2 probe"	"feature_page"
"133"	"codelink_codelink"	"CODELINK CODELINK probe"	"feature_page"
"134"	"illumina_humanref_8_v3"	"ILLUMINA HumanRef 8 V3 probe"	"feature_page"
"135"	"illumina_humanwg_6_v3"	"ILLUMINA HumanWG 6 V3 probe"	"feature_page"
"136"	"phalanx_onearray"	"PHALANX OneArray probe"	"feature_page"
"137"	"cdd"	"CDD ID"	"feature_page"
"138"	"cdd_start"	"CDD start"	"feature_page"
"139"	"cdd_end"	"CDD end"	"feature_page"
"140"	"gene3d"	"Gene3D ID"	"feature_page"
"141"	"gene3d_start"	"Gene3D start"	"feature_page"
"142"	"gene3d_end"	"Gene3D end"	"feature_page"
"143"	"hamap"	"HAMAP ID"	"feature_page"
"144"	"hamap_start"	"HAMAP start"	"feature_page"
"145"	"hamap_end"	"HAMAP end"	"feature_page"
"146"	"ncbifam"	"NCBIFAM ID"	"feature_page"
"147"	"ncbifam_start"	"NCBIFAM start"	"feature_page"
"148"	"ncbifam_end"	"NCBIFAM end"	"feature_page"
"149"	"hmmpanther"	"PANTHER ID"	"feature_page"
"150"	"hmmpanther_start"	"PANTHER start"	"feature_page"
"151"	"hmmpanther_end"	"PANTHER end"	"feature_page"
"152"	"pfam"	"Pfam ID"	"feature_page"
"153"	"pfam_start"	"Pfam start"	"feature_page"
"154"	"pfam_end"	"Pfam end"	"feature_page"
"155"	"pirsf"	"PIRSF ID"	"feature_page"
"156"	"pirsf_start"	"PIRSF start"	"feature_page"
"157"	"pirsf_end"	"PIRSF end"	"feature_page"
"158"	"prints"	"Prints ID"	"feature_page"
"159"	"prints_start"	"Prints start"	"feature_page"
"160"	"prints_end"	"Prints end"	"feature_page"
"161"	"scanprosite"	"PROSITE patterns ID"	"feature_page"
"162"	"scanprosite_start"	"PROSITE patterns start"	"feature_page"
"163"	"scanprosite_end"	"PROSITE patterns end"	"feature_page"
"164"	"pfscan"	"PROSITE profiles ID"	"feature_page"
"165"	"pfscan_start"	"PROSITE profiles start"	"feature_page"
"166"	"pfscan_end"	"PROSITE profiles end"	"feature_page"
"167"	"sfld"	"SFLD ID"	"feature_page"
"168"	"sfld_start"	"SFLD start"	"feature_page"
"169"	"sfld_end"	"SFLD end"	"feature_page"
"170"	"smart"	"SMART ID"	"feature_page"
"171"	"smart_start"	"SMART start"	"feature_page"
"172"	"smart_end"	"SMART end"	"feature_page"
"173"	"superfamily"	"Superfamily ID"	"feature_page"
"174"	"superfamily_start"	"Superfamily start"	"feature_page"
"175"	"superfamily_end"	"Superfamily end"	"feature_page"
"176"	"tigrfam"	"TIGRFAM ID"	"feature_page"
"177"	"tigrfam_start"	"TIGRFAM start"	"feature_page"
"178"	"tigrfam_end"	"TIGRFAM end"	"feature_page"
"179"	"interpro"	"Interpro ID"	"feature_page"
"180"	"interpro_short_description"	"Interpro Short Description"	"feature_page"
"181"	"interpro_description"	"Interpro Description"	"feature_page"
"182"	"interpro_start"	"Interpro start"	"feature_page"
"183"	"interpro_end"	"Interpro end"	"feature_page"
"184"	"alphafold"	"AFDB-ENSP mappings"	"feature_page"
"185"	"alphafold_start"	"AFDB-ENSP mappings start"	"feature_page"
"186"	"alphafold_end"	"AFDB-ENSP mappings end"	"feature_page"
"187"	"mobidblite"	"MobiDB lite"	"feature_page"
"188"	"mobidblite_start"	"MobiDB lite start"	"feature_page"
"189"	"mobidblite_end"	"MobiDB lite end"	"feature_page"
"190"	"ncoils"	"Coiled-coils (Ncoils)"	"feature_page"
"191"	"ncoils_start"	"Coiled-coils (Ncoils) start"	"feature_page"
"192"	"ncoils_end"	"Coiled-coils (Ncoils) end"	"feature_page"
"193"	"seg"	"Low complexity (Seg)"	"feature_page"
"194"	"seg_start"	"Low complexity (Seg) start"	"feature_page"
"195"	"seg_end"	"Low complexity (Seg) end"	"feature_page"
"196"	"sifts_import"	"PDB-ENSP mappings"	"feature_page"
"197"	"sifts_import_start"	"PDB-ENSP mappings start"	"feature_page"
"198"	"sifts_import_end"	"PDB-ENSP mappings end"	"feature_page"
"199"	"signalp"	"Cleavage site (Signalp)"	"feature_page"
"200"	"signalp_start"	"Cleavage site (Signalp) start"	"feature_page"
"201"	"signalp_end"	"Cleavage site (Signalp) end"	"feature_page"
"202"	"tmhmm"	"Transmembrane helices"	"feature_page"
"203"	"tmhmm_start"	"Transmembrane helices start"	"feature_page"
"204"	"tmhmm_end"	"Transmembrane helices end"	"feature_page"
"205"	"ensembl_gene_id"	"Gene stable ID"	"structure"
"206"	"ensembl_gene_id_version"	"Gene stable ID version"	"structure"
"207"	"version"	"Version (gene)"	"structure"
"208"	"ensembl_transcript_id"	"Transcript stable ID"	"structure"
"209"	"ensembl_transcript_id_version"	"Transcript stable ID version"	"structure"
"210"	"transcript_version"	"Version (transcript)"	"structure"
"211"	"ensembl_peptide_id"	"Protein stable ID"	"structure"
"212"	"ensembl_peptide_id_version"	"Protein stable ID version"	"structure"
"213"	"peptide_version"	"Version (protein)"	"structure"
"214"	"chromosome_name"	"Chromosome/scaffold name"	"structure"
"215"	"start_position"	"Gene start (bp)"	"structure"
"216"	"end_position"	"Gene end (bp)"	"structure"
"217"	"transcript_start"	"Transcript start (bp)"	"structure"
"218"	"transcript_end"	"Transcript end (bp)"	"structure"
"219"	"transcription_start_site"	"Transcription start site (TSS)"	"structure"
"220"	"transcript_length"	"Transcript length (including UTRs and CDS)"	"structure"
"221"	"strand"	"Strand"	"structure"
"222"	"external_gene_name"	"Gene name"	"structure"
"223"	"external_gene_source"	"Source of gene name"	"structure"
"224"	"5_utr_start"	"5' UTR start"	"structure"
"225"	"5_utr_end"	"5' UTR end"	"structure"
"226"	"3_utr_start"	"3' UTR start"	"structure"
"227"	"3_utr_end"	"3' UTR end"	"structure"
"228"	"cds_length"	"CDS Length"	"structure"
"229"	"transcript_count"	"Transcript count"	"structure"
"230"	"description"	"Gene description"	"structure"
"231"	"gene_biotype"	"Gene type"	"structure"
"232"	"exon_chrom_start"	"Exon region start (bp)"	"structure"
"233"	"exon_chrom_end"	"Exon region end (bp)"	"structure"
"234"	"is_constitutive"	"Constitutive exon"	"structure"
"235"	"rank"	"Exon rank in transcript"	"structure"
"236"	"phase"	"Start phase"	"structure"
"237"	"end_phase"	"End phase"	"structure"
"238"	"cdna_coding_start"	"cDNA coding start"	"structure"
"239"	"cdna_coding_end"	"cDNA coding end"	"structure"
"240"	"genomic_coding_start"	"Genomic coding start"	"structure"
"241"	"genomic_coding_end"	"Genomic coding end"	"structure"
"242"	"ensembl_exon_id"	"Exon stable ID"	"structure"
"243"	"cds_start"	"CDS start"	"structure"
"244"	"cds_end"	"CDS end"	"structure"
"245"	"ensembl_gene_id"	"Gene stable ID"	"homologs"
"246"	"ensembl_gene_id_version"	"Gene stable ID version"	"homologs"
"247"	"version"	"Version (gene)"	"homologs"
"248"	"ensembl_transcript_id"	"Transcript stable ID"	"homologs"
"249"	"ensembl_transcript_id_version"	"Transcript stable ID version"	"homologs"
"250"	"transcript_version"	"Version (transcript)"	"homologs"
"251"	"ensembl_peptide_id"	"Protein stable ID"	"homologs"
"252"	"ensembl_peptide_id_version"	"Protein stable ID version"	"homologs"
"253"	"peptide_version"	"Version (protein)"	"homologs"
"254"	"chromosome_name"	"Chromosome/scaffold name"	"homologs"
"255"	"start_position"	"Gene start (bp)"	"homologs"
"256"	"end_position"	"Gene end (bp)"	"homologs"
"257"	"strand"	"Strand"	"homologs"
"258"	"band"	"Karyotype band"	"homologs"
"259"	"external_gene_name"	"Gene name"	"homologs"
"260"	"external_gene_source"	"Source of gene name"	"homologs"
"261"	"transcript_count"	"Transcript count"	"homologs"
"262"	"percentage_gene_gc_content"	"Gene % GC content"	"homologs"
"263"	"description"	"Gene description"	"homologs"
"264"	"cabingdonii_homolog_ensembl_gene"	"Abingdon island giant tortoise gene stable ID"	"homologs"
"265"	"cabingdonii_homolog_associated_gene_name"	"Abingdon island giant tortoise gene name"	"homologs"
"266"	"cabingdonii_homolog_ensembl_peptide"	"Abingdon island giant tortoise protein or transcript stable ID"	"homologs"
"267"	"cabingdonii_homolog_chromosome"	"Abingdon island giant tortoise chromosome/scaffold name"	"homologs"
"268"	"cabingdonii_homolog_chrom_start"	"Abingdon island giant tortoise chromosome/scaffold start (bp)"	"homologs"
"269"	"cabingdonii_homolog_chrom_end"	"Abingdon island giant tortoise chromosome/scaffold end (bp)"	"homologs"
"270"	"cabingdonii_homolog_canonical_transcript_protein"	"Query protein or transcript ID"	"homologs"
"271"	"cabingdonii_homolog_subtype"	"Last common ancestor with Abingdon island giant tortoise"	"homologs"
"272"	"cabingdonii_homolog_orthology_type"	"Abingdon island giant tortoise homology type"	"homologs"
"273"	"cabingdonii_homolog_perc_id"	"%id. target Abingdon island giant tortoise gene identical to query gene"	"homologs"
"274"	"cabingdonii_homolog_perc_id_r1"	"%id. query gene identical to target Abingdon island giant tortoise gene"	"homologs"
"275"	"cabingdonii_homolog_goc_score"	"Abingdon island giant tortoise Gene-order conservation score"	"homologs"
"276"	"cabingdonii_homolog_wga_coverage"	"Abingdon island giant tortoise Whole-genome alignment coverage"	"homologs"
"277"	"cabingdonii_homolog_orthology_confidence"	"Abingdon island giant tortoise orthology confidence [0 low, 1 high]"	"homologs"
"278"	"scaustralis_homolog_ensembl_gene"	"African ostrich gene stable ID"	"homologs"
"279"	"scaustralis_homolog_associated_gene_name"	"African ostrich gene name"	"homologs"
"280"	"scaustralis_homolog_ensembl_peptide"	"African ostrich protein or transcript stable ID"	"homologs"
"281"	"scaustralis_homolog_chromosome"	"African ostrich chromosome/scaffold name"	"homologs"
"282"	"scaustralis_homolog_chrom_start"	"African ostrich chromosome/scaffold start (bp)"	"homologs"
"283"	"scaustralis_homolog_chrom_end"	"African ostrich chromosome/scaffold end (bp)"	"homologs"
"284"	"scaustralis_homolog_canonical_transcript_protein"	"Query protein or transcript ID"	"homologs"
"285"	"scaustralis_homolog_subtype"	"Last common ancestor with African ostrich"	"homologs"
"286"	"scaustralis_homolog_orthology_type"	"African ostrich homology type"	"homologs"
"287"	"scaustralis_homolog_perc_id"	"%id. target African ostrich gene identical to query gene"	"homologs"
"288"	"scaustralis_homolog_perc_id_r1"	"%id. query gene identical to target African ostrich gene"	"homologs"
"289"	"scaustralis_homolog_goc_score"	"African ostrich Gene-order conservation score"	"homologs"
"290"	"scaustralis_homolog_wga_coverage"	"African ostrich Whole-genome alignment coverage"	"homologs"
"291"	"scaustralis_homolog_orthology_confidence"	"African ostrich orthology confidence [0 low, 1 high]"	"homologs"
"292"	"mspretus_homolog_ensembl_gene"	"Algerian mouse gene stable ID"	"homologs"
"293"	"mspretus_homolog_associated_gene_name"	"Algerian mouse gene name"	"homologs"
"294"	"mspretus_homolog_ensembl_peptide"	"Algerian mouse protein or transcript stable ID"	"homologs"
"295"	"mspretus_homolog_chromosome"	"Algerian mouse chromosome/scaffold name"	"homologs"
"296"	"mspretus_homolog_chrom_start"	"Algerian mouse chromosome/scaffold start (bp)"	"homologs"
"297"	"mspretus_homolog_chrom_end"	"Algerian mouse chromosome/scaffold end (bp)"	"homologs"
"298"	"mspretus_homolog_canonical_transcript_protein"	"Query protein or transcript ID"	"homologs"
"299"	"mspretus_homolog_subtype"	"Last common ancestor with Algerian mouse"	"homologs"
"300"	"mspretus_homolog_orthology_type"	"Algerian mouse homology type"	"homologs"
"301"	"mspretus_homolog_perc_id"	"%id. target Algerian mouse gene identical to query gene"	"homologs"
"302"	"mspretus_homolog_perc_id_r1"	"%id. query gene identical to target Algerian mouse gene"	"homologs"
"303"	"mspretus_homolog_goc_score"	"Algerian mouse Gene-order conservation score"	"homologs"
"304"	"mspretus_homolog_wga_coverage"	"Algerian mouse Whole-genome alignment coverage"	"homologs"
"305"	"mspretus_homolog_orthology_confidence"	"Algerian mouse orthology confidence [0 low, 1 high]"	"homologs"
"306"	"vpacos_homolog_ensembl_gene"	"Alpaca gene stable ID"	"homologs"
"307"	"vpacos_homolog_associated_gene_name"	"Alpaca gene name"	"homologs"
"308"	"vpacos_homolog_ensembl_peptide"	"Alpaca protein or transcript stable ID"	"homologs"
"309"	"vpacos_homolog_chromosome"	"Alpaca chromosome/scaffold name"	"homologs"
"310"	"vpacos_homolog_chrom_start"	"Alpaca chromosome/scaffold start (bp)"	"homologs"
"311"	"vpacos_homolog_chrom_end"	"Alpaca chromosome/scaffold end (bp)"	"homologs"
"312"	"vpacos_homolog_canonical_transcript_protein"	"Query protein or transcript ID"	"homologs"
"313"	"vpacos_homolog_subtype"	"Last common ancestor with Alpaca"	"homologs"
"314"	"vpacos_homolog_orthology_type"	"Alpaca homology type"	"homologs"
"315"	"vpacos_homolog_perc_id"	"%id. target Alpaca gene identical to query gene"	"homologs"
"316"	"vpacos_homolog_perc_id_r1"	"%id. query gene identical to target Alpaca gene"	"homologs"
"317"	"vpacos_homolog_goc_score"	"Alpaca Gene-order conservation score"	"homologs"
"318"	"vpacos_homolog_wga_coverage"	"Alpaca Whole-genome alignment coverage"	"homologs"
"319"	"vpacos_homolog_orthology_confidence"	"Alpaca orthology confidence [0 low, 1 high]"	"homologs"
"320"	"mmmarmota_homolog_ensembl_gene"	"Alpine marmot gene stable ID"	"homologs"
"321"	"mmmarmota_homolog_associated_gene_name"	"Alpine marmot gene name"	"homologs"
"322"	"mmmarmota_homolog_ensembl_peptide"	"Alpine marmot protein or transcript stable ID"	"homologs"
"323"	"mmmarmota_homolog_chromosome"	"Alpine marmot chromosome/scaffold name"	"homologs"
"324"	"mmmarmota_homolog_chrom_start"	"Alpine marmot chromosome/scaffold start (bp)"	"homologs"
"325"	"mmmarmota_homolog_chrom_end"	"Alpine marmot chromosome/scaffold end (bp)"	"homologs"
"326"	"mmmarmota_homolog_canonical_transcript_protein"	"Query protein or transcript ID"	"homologs"
"327"	"mmmarmota_homolog_subtype"	"Last common ancestor with Alpine marmot"	"homologs"
"328"	"mmmarmota_homolog_orthology_type"	"Alpine marmot homology type"	"homologs"
"329"	"mmmarmota_homolog_perc_id"	"%id. target Alpine marmot gene identical to query gene"	"homologs"
"330"	"mmmarmota_homolog_perc_id_r1"	"%id. query gene identical to target Alpine marmot gene"	"homologs"
"331"	"mmmarmota_homolog_goc_score"	"Alpine marmot Gene-order conservation score"	"homologs"
"332"	"mmmarmota_homolog_wga_coverage"	"Alpine marmot Whole-genome alignment coverage"	"homologs"
"333"	"mmmarmota_homolog_orthology_confidence"	"Alpine marmot orthology confidence [0 low, 1 high]"	"homologs"
"334"	"pformosa_homolog_ensembl_gene"	"Amazon molly gene stable ID"	"homologs"
"335"	"pformosa_homolog_associated_gene_name"	"Amazon molly gene name"	"homologs"
"336"	"pformosa_homolog_ensembl_peptide"	"Amazon molly protein or transcript stable ID"	"homologs"
"337"	"pformosa_homolog_chromosome"	"Amazon molly chromosome/scaffold name"	"homologs"
"338"	"pformosa_homolog_chrom_start"	"Amazon molly chromosome/scaffold start (bp)"	"homologs"
"339"	"pformosa_homolog_chrom_end"	"Amazon molly chromosome/scaffold end (bp)"	"homologs"
"340"	"pformosa_homolog_canonical_transcript_protein"	"Query protein or transcript ID"	"homologs"
"341"	"pformosa_homolog_subtype"	"Last common ancestor with Amazon molly"	"homologs"
"342"	"pformosa_homolog_orthology_type"	"Amazon molly homology type"	"homologs"
"343"	"pformosa_homolog_perc_id"	"%id. target Amazon molly gene identical to query gene"	"homologs"
"344"	"pformosa_homolog_perc_id_r1"	"%id. query gene identical to target Amazon molly gene"	"homologs"
"345"	"pformosa_homolog_goc_score"	"Amazon molly Gene-order conservation score"	"homologs"
"346"	"pformosa_homolog_wga_coverage"	"Amazon molly Whole-genome alignment coverage"	"homologs"
"347"	"pformosa_homolog_orthology_confidence"	"Amazon molly orthology confidence [0 low, 1 high]"	"homologs"
"348"	"bbbison_homolog_ensembl_gene"	"American bison gene stable ID"	"homologs"
"349"	"bbbison_homolog_associated_gene_name"	"American bison gene name"	"homologs"
"350"	"bbbison_homolog_ensembl_peptide"	"American bison protein or transcript stable ID"	"homologs"
"351"	"bbbison_homolog_chromosome"	"American bison chromosome/scaffold name"	"homologs"
"352"	"bbbison_homolog_chrom_start"	"American bison chromosome/scaffold start (bp)"	"homologs"
"353"	"bbbison_homolog_chrom_end"	"American bison chromosome/scaffold end (bp)"	"homologs"
"354"	"bbbison_homolog_canonical_transcript_protein"	"Query protein or transcript ID"	"homologs"
"355"	"bbbison_homolog_subtype"	"Last common ancestor with American bison"	"homologs"
"356"	"bbbison_homolog_orthology_type"	"American bison homology type"	"homologs"
"357"	"bbbison_homolog_perc_id"	"%id. target American bison gene identical to query gene"	"homologs"
"358"	"bbbison_homolog_perc_id_r1"	"%id. query gene identical to target American bison gene"	"homologs"
"359"	"bbbison_homolog_goc_score"	"American bison Gene-order conservation score"	"homologs"
"360"	"bbbison_homolog_wga_coverage"	"American bison Whole-genome alignment coverage"	"homologs"
"361"	"bbbison_homolog_orthology_confidence"	"American bison orthology confidence [0 low, 1 high]"	"homologs"
"362"	"uamericanus_homolog_ensembl_gene"	"American black bear gene stable ID"	"homologs"
"363"	"uamericanus_homolog_associated_gene_name"	"American black bear gene name"	"homologs"
"364"	"uamericanus_homolog_ensembl_peptide"	"American black bear protein or transcript stable ID"	"homologs"
"365"	"uamericanus_homolog_chromosome"	"American black bear chromosome/scaffold name"	"homologs"
"366"	"uamericanus_homolog_chrom_start"	"American black bear chromosome/scaffold start (bp)"	"homologs"
"367"	"uamericanus_homolog_chrom_end"	"American black bear chromosome/scaffold end (bp)"	"homologs"
"368"	"uamericanus_homolog_canonical_transcript_protein"	"Query protein or transcript ID"	"homologs"
"369"	"uamericanus_homolog_subtype"	"Last common ancestor with American black bear"	"homologs"
"370"	"uamericanus_homolog_orthology_type"	"American black bear homology type"	"homologs"
"371"	"uamericanus_homolog_perc_id"	"%id. target American black bear gene identical to query gene"	"homologs"
"372"	"uamericanus_homolog_perc_id_r1"	"%id. query gene identical to target American black bear gene"	"homologs"
"373"	"uamericanus_homolog_goc_score"	"American black bear Gene-order conservation score"	"homologs"
"374"	"uamericanus_homolog_wga_coverage"	"American black bear Whole-genome alignment coverage"	"homologs"
"375"	"uamericanus_homolog_orthology_confidence"	"American black bear orthology confidence [0 low, 1 high]"	"homologs"
"376"	"nvison_homolog_ensembl_gene"	"American mink gene stable ID"	"homologs"
"377"	"nvison_homolog_associated_gene_name"	"American mink gene name"	"homologs"
"378"	"nvison_homolog_ensembl_peptide"	"American mink protein or transcript stable ID"	"homologs"
"379"	"nvison_homolog_chromosome"	"American mink chromosome/scaffold name"	"homologs"
