RNA,Compartment,Count,AveragePrecision,ROCAUC,MatthewsCorrCoef,F1Score,Precision,Recall,Accuracy
snRNA,Microvesicle,4.0,NAN,NAN,0.0,1.0,1.0,1.0,1.0
snRNA,Mitochondrion,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
snRNA,micro,0.0,NAN,NAN,NAN,NAN,NAN,NAN,NAN
snRNA,macro,0.0,NAN,NAN,NAN,NAN,NAN,NAN,NAN
snoRNA,Nucleus,22.0,0.1395943356199216,0.13267813267813267,0.0,0.37288135593220334,0.22916666666666666,1.0,0.22916666666666666
snoRNA,Exosome,96.0,NAN,NAN,0.0,1.0,1.0,1.0,1.0
snoRNA,Cytosol,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
snoRNA,Cytoplasm,8.0,0.057119922247216945,0.21732954545454547,0.0,0.15384615384615385,0.08333333333333333,1.0,0.08333333333333333
snoRNA,Ribosome,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
snoRNA,Membrane,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
snoRNA,Endoplasmic reticulum,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
snoRNA,Microvesicle,96.0,NAN,NAN,0.0,1.0,1.0,1.0,1.0
snoRNA,Mitochondrion,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
snoRNA,micro,192.0,1.0,NAN,0.0,1.0,1.0,1.0,1.0
snoRNA,macro,192.0,1.0,NAN,0.0,1.0,1.0,1.0,1.15625
mRNA,Nucleus,2390.0,0.8624910414299001,0.7444948194076992,0.33769907071671307,0.7529465095194922,0.8214638971315529,0.6949790794979079,0.6856071531583502
mRNA,Exosome,3439.0,0.996484054094626,0.7162900344784614,0.05424276533019651,0.8441319270048552,0.994869771112865,0.7330619366094795,0.7314681280646091
mRNA,Cytosol,469.0,0.21553682964803472,0.6617069517560392,0.1847042291625599,0.31885714285714284,0.21779859484777517,0.5948827292110874,0.6561869051052783
mRNA,Cytoplasm,1935.0,0.7693767808347254,0.7248190202467937,0.32856625161443237,0.6845383157324668,0.7189988623435722,0.6532299741602067,0.6639746178252092
mRNA,Ribosome,1048.0,0.4912318685014782,0.7091063432305951,0.28908687406771927,0.5461015852474927,0.4131179637787567,0.8053435114503816,0.5953273723680416
mRNA,Membrane,650.0,0.4450587463852375,0.7485418202670598,0.3161910789894036,0.4312080536912752,0.474169741697417,0.3953846153846154,0.8044418805884049
mRNA,Endoplasmic reticulum,399.0,0.14664474732657623,0.5745859106697644,0.07540283926911992,0.22634836427939878,0.1374127750939345,0.6416040100250626,0.49524084222670894
mRNA,Microvesicle,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
mRNA,Mitochondrion,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
mRNA,micro,8395.0,0.8818673389819001,0.8880881813101626,0.3267612901423027,0.6613787135852321,0.6613787135852321,0.6613787135852321,0.6613787135852321
mRNA,macro,8395.0,0.5262412145643088,0.6924543133016033,0.2643155181916908,0.5199322637666095,0.5098054572770502,0.6442093136964224,0.7720411498894336
